description,industry,level,size,line_code,value,Unit,Footnotes
Importance of pricing of goods and services sold by this business: very important,Administrative & support services,1,total,C0201.04,1350,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: very important,Education & training,1,total,C0201.04,714,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: very important,Health care & social assistance,1,total,C0201.04,1722,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: very important,Arts & recreation services,1,total,C0201.04,375,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: very important,Other services,1,total,C0201.04,975,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: very important,total,0,total,C0201.04,35355,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,total,0,6019 employees,C0201.05,1167,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: don't know,total,0,20049 employees,C0201.05,237,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: don't know,total,0,50099 employees,C0201.05,51,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: don't know,total,0,100+ employees,C0201.05,39,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business: don't know,"Agriculture, forestry, & fishing",1,total,C0201.05,417,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Agriculture,2,total,C0201.05,297,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Commercial fishing,2,total,C0201.05,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Forestry & logging,2,total,C0201.05,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Agriculture, forestry, & fishing support services",2,total,C0201.05,96,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Mining,1,total,C0201.05,6,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business: don't know,Manufacturing,1,total,C0201.05,78,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Food, beverage, & tobacco",2,total,C0201.05,15,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Textile, clothing, footwear, & leather",2,total,C0201.05,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Wood & paper product,2,total,C0201.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Printing, publishing, & recorded media",2,total,C0201.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Petroleum, coal, chemical, & associated product",2,total,C0201.05,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Non-metallic mineral product,2,total,C0201.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Metal product,2,total,C0201.05,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Transport and industrial machinery & equipment,2,total,C0201.05,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Other machinery & equipment,2,total,C0201.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Other manufacturing,2,total,C0201.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Electricity, gas, water, & waste services",1,total,C0201.05,3,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business: don't know,Construction,1,total,C0201.05,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Wholesale trade,1,total,C0201.05,57,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Machinery & equipment wholesaling,2,total,C0201.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Other wholesale trade,2,total,C0201.05,51,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Retail trade,1,total,C0201.05,9,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Accommodation & food services,1,total,C0201.05,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Transport, postal, & warehousing",1,total,C0201.05,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Information media & telecommunications,1,total,C0201.05,24,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Publishing,2,total,C0201.05,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Motion picture,2,total,C0201.05,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Telecommunications,2,total,C0201.05,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Financial & insurance services,1,total,C0201.05,21,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Finance,2,total,C0201.05,15,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Insurance,2,total,C0201.05,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Auxiliary,2,total,C0201.05,9,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Rental, hiring, & real estate services",1,total,C0201.05,81,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,"Professional, scientific, & technical services",1,total,C0201.05,135,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Computer systems design,2,total,C0201.05,39,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Other professional scientific,2,total,C0201.05,99,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Administrative & support services,1,total,C0201.05,48,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Education & training,1,total,C0201.05,54,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Health care & social assistance,1,total,C0201.05,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Arts & recreation services,1,total,C0201.05,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,Other services,1,total,C0201.05,87,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business: don't know,total,0,total,C0201.05,1494,Number of businesses,1 and 2 and 3 and 6
